date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:28:00	88040/88040	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Aug%202024%2013:33:40%20GMT	https://gramentheme.com/html/transko/index.html	/Users/vishnuchandran/Desktop/transko-site/gramentheme.com/html/transko/index.html	(from )
20:28:02	129/129	---M-Z	200	added ('OK')	text/plain	date:Thu,%2006%20Mar%202025%2014:58:02%20GMT	https://gramentheme.com/robots.txt		(from )
20:28:03	1177/1177	---M--	200	added ('OK')	image/png	date:Fri,%2009%20Aug%202024%2017:59:44%20GMT	https://gramentheme.com/html/transko/assets/img/favicon.png	/Users/vishnuchandran/Desktop/transko-site/gramentheme.com/html/transko/assets/img/favicon.png	(from https://gramentheme.com/html/transko/index.html)
20:28:03	297514/297514	---M-Z	200	added ('OK')	text/css	date:Sat,%2010%20Aug%202024%2005:19:18%20GMT	https://gramentheme.com/html/transko/assets/css/bootstrap.min.css	/Users/vishnuchandran/Desktop/transko-site/gramentheme.com/html/transko/assets/css/bootstrap.min.css	(from https://gramentheme.com/html/transko/index.html)
20:28:05	465729/465729	---M-Z	200	added ('OK')	text/css	date:Sat,%2010%20Aug%202024%2005:19:18%20GMT	https://gramentheme.com/html/transko/assets/css/all.min.css	/Users/vishnuchandran/Desktop/transko-site/gramentheme.com/html/transko/assets/css/all.min.css	(from https://gramentheme.com/html/transko/index.html)
20:28:06	57095/57095	---M-Z	200	added ('OK')	text/css	date:Sat,%2010%20Aug%202024%2005:19:18%20GMT	https://gramentheme.com/html/transko/assets/css/animate.css	/Users/vishnuchandran/Desktop/transko-site/gramentheme.com/html/transko/assets/css/animate.css	(from https://gramentheme.com/html/transko/index.html)
20:28:06	6955/6955	---M-Z	200	added ('OK')	text/css	date:Sat,%2010%20Aug%202024%2005:19:18%20GMT	https://gramentheme.com/html/transko/assets/css/magnific-popup.css	/Users/vishnuchandran/Desktop/transko-site/gramentheme.com/html/transko/assets/css/magnific-popup.css	(from https://gramentheme.com/html/transko/index.html)
20:28:07	2915/2915	---M-Z	200	added ('OK')	text/css	date:Sat,%2010%20Aug%202024%2005:19:18%20GMT	https://gramentheme.com/html/transko/assets/css/meanmenu.css	/Users/vishnuchandran/Desktop/transko-site/gramentheme.com/html/transko/assets/css/meanmenu.css	(from https://gramentheme.com/html/transko/index.html)
20:28:08	16466/16466	---M-Z	200	added ('OK')	text/css	date:Sat,%2010%20Aug%202024%2005:19:18%20GMT	https://gramentheme.com/html/transko/assets/css/swiper-bundle.min.css	/Users/vishnuchandran/Desktop/transko-site/gramentheme.com/html/transko/assets/css/swiper-bundle.min.css	(from https://gramentheme.com/html/transko/index.html)
20:28:09	4011/4011	---M-Z	200	added ('OK')	text/css	date:Sat,%2010%20Aug%202024%2005:19:18%20GMT	https://gramentheme.com/html/transko/assets/css/nice-select.css	/Users/vishnuchandran/Desktop/transko-site/gramentheme.com/html/transko/assets/css/nice-select.css	(from https://gramentheme.com/html/transko/index.html)
20:28:10	0/0	---M--	200	added ('OK')	text/css	date:Sat,%2010%20Aug%202024%2005:19:18%20GMT	https://gramentheme.com/html/transko/assets/css/color.css	/Users/vishnuchandran/Desktop/transko-site/gramentheme.com/html/transko/assets/css/color.css	(from https://gramentheme.com/html/transko/index.html)
20:28:11	144821/144821	---M-Z	200	added ('OK')	text/css	date:Thu,%2022%20Aug%202024%2014:00:06%20GMT	https://gramentheme.com/html/transko/assets/css/main.css	/Users/vishnuchandran/Desktop/transko-site/gramentheme.com/html/transko/assets/css/main.css	(from https://gramentheme.com/html/transko/index.html)
